Status,Date_Time,City,State,Country,Shape,Summary,Has_Media,Explanation
Open,06/26/2025 11:00,Vacaville,CA,USA,Orb,"While merging onto I-80 Westbound in Vacaville, I observed a metallic-looking ball hovering about 2–3 meters above the right lane.",08/22/2025,
Open,06/25/2025 02:00,Yreka,CA,USA,Cigar,"Cigar shaped dark craft, no lights, no sound, low altitude, moving north with appendages on outside almost like windows",06/30/2025,
Open,06/18/2025 10:45,Santa Maria,CA,USA,Orb,"Silent white dot, moving fast",06/19/2025,
Open,06/18/2025 10:45,Benicia,CA,USA,Orb,"A small white-silver object, too small to identify the shape, traveling super-fast to the East. I observed it for about 10 seconds",06/19/2025,
Open .,06/17/2025 21:33,Bakersfield,CA,USA,Diamond,Huge black diamond shape obscured by a lot of lights.,06/17/2025,Y
Open .,06/17/2025 21:00,Vacaville,CA,USA,Triangle,After noticing black object in sky. Object did not move or fly away. It stayed in one spot until it got dark. It had no lights.,06/20/2025,Y
Open,06/16/2025 20:41,Laguna Niguel,CA,USA,Circle,Object that looked like a firework.,06/16/2025,Y
Open .,06/16/2025 00:28,Woodland Hills,CA,USA,Orb,"Blue orb moving 5 degrees side to side, then changing color to green, then shooting down out of sight",06/18/2025,
Open .,06/16/2025 00:28,Los Angeles,CA,USA,Orb,Orb seen zig zagging and changing colors,06/18/2025,
Open,06/14/2025 21:30,Joshua Tree,CA,USA,Flash,Parallel lights 2 inch apart flash stream for 2 inches SW of Joshua tree,06/14/2025,
Open,06/12/2025 23:30,Rosamond,CA,USA,Orb,Lights changing form,07/02/2025,
Open,06/12/2025 11:40,Santa Clarita,CA,USA,Cylinder,Metallic silver cylinder rotating east to west.,06/12/2025,
Open .,06/06/2025 20:38,Antioch,CA,USA,Disk,Disk and type triangle silent changes direction,06/08/2025,Y
Open !,06/06/2025 18:00,,CA,USA,Cube,At my house I was laying down on the phone talking and seeing some blinking green and red lights,12/04/2025,
Open,06/05/2025 10:50,Spring Valley,CA,USA,Other,I saw 3 objects in the sky,06/14/2025,Y
Open,06/05/2025 02:30,Lancaster,CA,USA,Circle,Giant red ball bigger than the moon,06/05/2025,
Open .,06/04/2025 03:17,Long Beach,CA,USA,Oval,"I saw a strange object in the sky. It stopped for a few seconds in front of me, then moved at blink-of-an-eye speed without sound.",06/06/2025,
Open,06/02/2025 12:30,San Francisco,CA,USA,Disk,"Started off over SOMA district in SF below 500 feet altitude, made its way over Chase Center, waited there for a bit and then went up",06/02/2025,
Open .,06/01/2025 22:00,Petrolia,CA,USA,Orb,Object appeared to be an extremely bright satellite did a loop in the sky. Object then seen darting back and forth near horizon.,06/11/2025,
